Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 5),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Custom],SKU [Custom],Packaging [Custom],Unit Price (@ Batch Size: 5) [Custom],Line Total [Custom],Batch Total [Custom],In Stock [Custom],MOQ [Custom],URL [Custom],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
3,GRM21BR6YA106ME43L,Murata,GRM21BR6YA106ME43L,https://octopart.com/grm21br6ya106me43l-murata-51454506,"C1, C2, C3",C2012X5R1V106K085AC,CAP CER 10UF 35V 10% X5R 0805,15,490-10515-1-ND,GRM21BR6YA106ME43L,,Cut Tape,,,0.291,0.177,,13443,52248,,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0830dd7&sid=459&ppid=51454506&vpid=172161985&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DK0Sa7bCb58L8Cutg5cHuEA%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM21BR6YA106ME43L%26utm_term%3DGRM21BR6YA106ME43L%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0ccf418&sid=2401&ppid=51454506&ct=offers,,Digi-Key,490-10515-1-ND,Cut Tape,0.291,0.873,4.364999999999999,13443,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0830dd7&sid=459&ppid=51454506&vpid=172161985&ct=offers,
7,GRM188R61A106KE69D,Murata,GRM188R61A106KE69D,https://octopart.com/grm188r61a106ke69d-murata-22851381,"C4, C9, C11, C12, C13, C18, C19",GRM188R61A106KE69D,Cap Ceramic 10uF 10V X5R 10% SMD 0603 85C Paper T/R,35,490-10474-1-ND,GRM188R61A106KE69D,55Y9855,Cut Tape,,Cut Tape,0.125,0.08,0.052,1486,590013,15441,1,,10,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0066ece&sid=459&ppid=22851381&vpid=172161837&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0d084dc&sid=2401&ppid=22851381&vpid=165405546&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0717037&sid=2402&ppid=22851381&vpid=228368762&ct=offers,Digi-Key,490-10474-1-ND,Cut Tape,0.125,0.875,4.375,1486,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0066ece&sid=459&ppid=22851381&vpid=172161837&ct=offers,
8,GRM188R71C104KA01J,Murata,GRM188R71C104KA01J,https://octopart.com/grm188r71c104ka01j-murata-5464383,"C5, C6, C10, C14, C15, C16, C20, C21",CMP-132596-3,CAP CER 0.1UF 16V 10% X7R 0603,40,490-9690-1-ND,GRM188R71C104KA01J,,Cut Tape,,,0.061,0.034,,11824,26300,,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=07fee8d&sid=459&ppid=5464383&vpid=134455162&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWZmVLWkT%252feDmX8INul3SJQ%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM188R71C104KA01J%26utm_term%3DGRM188R71C104KA01J%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0eb6966&sid=2401&ppid=5464383&ct=offers,,Future Electronics,GRM188R71C104KA01J,,0.0019,0.0152,0.076,120314,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=05d1926&sid=2454&ppid=5464383&vpid=15651398&ct=offers,
3,GRM188R71H103KA01D,Murata,GRM188R71H103KA01D,https://octopart.com/grm188r71h103ka01d-murata-81373,"C7, C8, C17",GRM188R71H103KA01D,0603 10nF 50V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,15,490-1512-1-ND,GRM188R71H103KA01D,38K1669,Cut Tape,,Cut Tape,0.019,0.01,0.008,1764993,475581,0,1,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=009f7c0&sid=459&ppid=81373&vpid=1628801&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWWniysbtxULrL2ljbViAbw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM188R71H103KA01D%26utm_term%3DGRM188R71H103KA01D%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0df8e66&sid=2401&ppid=81373&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.newark.com%2F38K1669&country=US&ak=68b25f31&sig=07e88e5&sid=2402&ppid=81373&ct=offers,Digi-Key,490-1512-1-ND,Cut Tape,0.019,0.056999999999999995,0.28500000000000003,1764993,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=009f7c0&sid=459&ppid=81373&vpid=1628801&ct=offers,
1,SK55AFL-TP,MCC,SK55AFL-TP,https://octopart.com/sk55afl-tp-mcc-47354580,D1,SK55AFL-TP,Diode Schottky 50v 5a Do221ac,5,SK55AFL-TPMSCT-ND,,,Cut Tape,,,0.63,,,9621,,,1,,,https://octopart-clicks.com/click/track?c=1&country=US&ak=68b25f31&sig=0547a4f&sid=459&ppid=47354580&vpid=127912791&ct=offers,,,Digi-Key,SK55AFL-TPMSCT-ND,Cut Tape,0.63,0.63,3.15,9621,1,https://octopart-clicks.com/click/track?c=1&country=US&ak=68b25f31&sig=0547a4f&sid=459&ppid=47354580&vpid=127912791&ct=offers,
1,Q62702P5177,Osram Opto,Q62702P5177,https://octopart.com/q62702p5177-osram+opto-31090940,D2,HSMY-C170,LED 589NM YELLOW DIFF 0805 SMD,5,475-2560-1-ND,Q62702P5177,,Cut Tape,,,0.27,0.26,,6738,113417,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c3b5b1&sid=459&ppid=31090940&vpid=90899252&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0467922&sid=2401&ppid=31090940&vpid=90919843&ct=offers,,Digi-Key,475-2560-1-ND,Cut Tape,0.27,0.27,1.35,6738,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c3b5b1&sid=459&ppid=31090940&vpid=90899252&ct=offers,
1,LHR974-LP-1,Osram Opto,LH R974-LP-1,https://octopart.com/lh+r974-lp-1-osram+opto-31093897,D3,CMP-3212442-5,LED CHIPLED 645NM RED DIFF 0805,5,475-1415-1-ND,LH R974-LP-1,,Cut Tape,,,0.26,0.24,,60217,94748,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02a5873&sid=459&ppid=31093897&vpid=90899261&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=06cdf99&sid=2401&ppid=31093897&vpid=90919800&ct=offers,,Digi-Key,475-1415-1-ND,Cut Tape,0.26,0.26,1.3,60217,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02a5873&sid=459&ppid=31093897&vpid=90899261&ct=offers,
1,LGR971-KN-1,Osram Opto,Q62702P5179,https://octopart.com/q62702p5179-osram+opto-31090942,D4,CMP-2502083-4,"Osram Opto CHIPLED 0805 Series 0805 Green LED, 160",5,475-1410-1-ND,Q62702P5179,,Cut Tape,,,0.26,0.24,,161096,292690,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0074ba2&sid=459&ppid=31090942&vpid=90899258&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b6a00f&sid=2401&ppid=31090942&vpid=90919796&ct=offers,,Digi-Key,475-1410-1-ND,Cut Tape,0.26,0.26,1.3,161096,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0074ba2&sid=459&ppid=31090942&vpid=90899258&ct=offers,
1,929975-01-20-RK,3M,929975-01-20-RK,https://octopart.com/929975-01-20-rk-3m-252730,J6,CMP-677180-3,"CONN RCPT .100 40POS DUAL TIN""",5,929975E-01-20-ND,929975-01-20-RK,,Bulk,,,3.2,3.19,,261,321,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=09e1c80&sid=459&ppid=252730&vpid=1856895&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=073da8f&sid=2401&ppid=252730&vpid=37900258&ct=offers,,Digi-Key,929975E-01-20-ND,Bulk,3.2,3.2,16,261,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=09e1c80&sid=459&ppid=252730&vpid=1856895&ct=offers,
1,744771112,Würth Elektronik,744771112,https://octopart.com/744771112-w%C3%BCrth+elektronik-19122167,L1,744771112,"SMD-Shielded Power Inductor WE-PD, L = 12.0 µH",5,732-1209-1-ND,744771112,88T7082,Cut Tape,,Cut Tape,2.6,2.29,3.02,391,260,11,1,,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b88a06&sid=459&ppid=19122167&vpid=33976529&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=081d469&sid=2401&ppid=19122167&vpid=37916586&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b62acd&sid=2402&ppid=19122167&vpid=49077694&ct=offers,Digi-Key,732-1209-1-ND,Cut Tape,2.6,2.6,13,391,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b88a06&sid=459&ppid=19122167&vpid=33976529&ct=offers,
11,RC0603JR-0733RL,Yageo,RC0603JR-0733RL,https://octopart.com/rc0603jr-0733rl-yageo-55505591,"R2, R13, R14, R15, R16, R17, R19, R22, R23, R24, R25",CMP-3902170-2,RES SMD 33 OHM 1% 1/10W 0603,55,311-33GRCT-ND,RC0603JR-0733RL,68R0182,Cut Tape,,Cut Tape,0.008,0.008,0.007,488206,25326,5646,1,1,1,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0603JR-0733RL%2F311-33GRCT-ND%2F729718&country=US&ak=68b25f31&sig=02e3a5b&sid=459&ppid=55505591&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D%252f9ZTgpVJnN44dWLqY8nieA%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DRC0603JR-0733RL%26utm_term%3DRC0603JR-0733RL%26utm_content%3DYageo&country=US&ak=68b25f31&sig=06d2f98&sid=2401&ppid=55505591&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.newark.com%2F68R0182&country=US&ak=68b25f31&sig=0fc81f7&sid=2402&ppid=55505591&ct=offers,Digi-Key,311-33GRCT-ND,Cut Tape,0.008,0.088,0.44,488206,1,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0603JR-0733RL%2F311-33GRCT-ND%2F729718&country=US&ak=68b25f31&sig=02e3a5b&sid=459&ppid=55505591&ct=offers,
9,RC0603FR-073K92L,Yageo,RC0603FR-073K92L,https://octopart.com/rc0603fr-073k92l-yageo-1178336,"R3, R5, R6, R7, R8, R9, R10, R11, R12",CMP-1857412-2,RES SMD 3.92K OHM 1% 1/10W 0603,45,311-3.92KHRCT-ND,RC0603FR-073K92L,66R2265,Cut Tape,,Tape & Reel,0.01,0.01,,149061,18692,0,1,1,5000,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0603FR-073K92L%2F311-3.92KHRCT-ND%2F730085&country=US&ak=68b25f31&sig=0ba9373&sid=459&ppid=1178336&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Dgt6vzsuosg1df%252fpEPzWDPQ%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DRC0603FR-073K92L%26utm_term%3DRC0603FR-073K92L%26utm_content%3DYageo&country=US&ak=68b25f31&sig=0fcd4eb&sid=2401&ppid=1178336&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.newark.com%2F66R2265&country=US&ak=68b25f31&sig=0471a03&sid=2402&ppid=1178336&ct=offers,Digi-Key,311-3.92KHRCT-ND,Cut Tape,0.01,0.09,0.45,149061,1,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0603FR-073K92L%2F311-3.92KHRCT-ND%2F730085&country=US&ak=68b25f31&sig=0ba9373&sid=459&ppid=1178336&ct=offers,
1,ERJ-3EKF4703V,Panasonic,ERJ-3EKF4703V,https://octopart.com/erj-3ekf4703v-panasonic-9251211,R4,ERJ-3EKF4703V,Res Thick Film 0603 470K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive Punched T/R,5,P470KHCT-ND,ERJ-3EKF4703V,64R5351,Cut Tape,,Cut Tape,0.1,0.1,0.003,271688,124753,32337,1,,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=048cc95&sid=459&ppid=9251211&vpid=115652206&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0e769f4&sid=2401&ppid=9251211&vpid=115231445&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=016b463&sid=2402&ppid=9251211&vpid=119883028&ct=offers,Digi-Key,P470KHCT-ND,Cut Tape,0.1,0.1,0.5,271688,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=048cc95&sid=459&ppid=9251211&vpid=115652206&ct=offers,
3,RC0603JR-07270RL,Yageo,RC0603JR-07270RL,https://octopart.com/rc0603jr-07270rl-yageo-40025544,"R18, R20, R21",CMP-1856060-2,RES SMD 270 OHM 5% 1/10W 0603,15,311-270GRCT-ND,RC0603JR-07270RL,68R0174,Cut Tape,,Cut Tape,0.011,0.008,0.001,104891,17795,12721,1,,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0278d8a&sid=459&ppid=40025544&vpid=114983123&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0e9630a&sid=2401&ppid=40025544&vpid=116521368&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0d3206e&sid=2402&ppid=40025544&vpid=115424270&ct=offers,Digi-Key,311-270GRCT-ND,Cut Tape,0.011,0.033,0.16499999999999998,104891,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0278d8a&sid=459&ppid=40025544&vpid=114983123&ct=offers,
1,24AA32AT-I/OT,Microchip,24AA32AT-I/OT,https://octopart.com/24aa32at-i%2Fot-microchip-17751700,U1,CMP-977572-2,"32Kbit, 400kHz, 1.7V, I2C Serial EEPROM, 5-Pin SOT-23, Industrial Temperature, Tape and Reel",5,24AA32AT-I/OTCT-ND,24AA32AT-I/OT,84R4149,Cut Tape,,Cut Tape,0.32,0.38,0.318,21880,6758,787,1,,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=076d9e0&sid=459&ppid=17751700&vpid=34017650&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02df8b2&sid=2401&ppid=17751700&vpid=37822932&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.newark.com%2F84R4149&country=US&ak=68b25f31&sig=094e32c&sid=2402&ppid=17751700&ct=offers,Digi-Key,24AA32AT-I/OTCT-ND,Cut Tape,0.32,0.32,1.6,21880,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=076d9e0&sid=459&ppid=17751700&vpid=34017650&ct=offers,
1,LM22676QMR-5.0/NOPB,Texas Instruments,LM22676QMR-5.0/NOPB,https://octopart.com/lm22676qmr-5.0%2Fnopb-texas+instruments-24812631,U2,LM22676QMR-5.0/NOPB,"3A SIMPLE SWITCHER®, Step-Down Voltage Regulator with Precision Enable, 5V Output, Automotive Grade, 8-pin PSOP, 95 Rail",5,LM22676QMR-5.0/NOPB-ND,LM22676QMR-5.0/NOPB,,Tube,,,5.44,5.43,,274,152,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0809eaa&sid=459&ppid=24812631&vpid=57501462&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=072eb1a&sid=2401&ppid=24812631&vpid=57203486&ct=offers,,Digi-Key,LM22676QMR-5.0/NOPB-ND,Tube,5.44,5.44,27.200000000000003,274,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0809eaa&sid=459&ppid=24812631&vpid=57501462&ct=offers,
1,RT9193-33GB,Richtek,RT9193-33GB,https://octopart.com/rt9193-33gb-richtek-19505609,U3,RT9193-33GJ5,IC REG LDO 3.3V 0.3A TSOT23-5,5,1028-1014-1-ND,,,Cut Tape,,,0.47,,,21743,,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c1556c&sid=459&ppid=19505609&vpid=34780877&ct=offers,,,Digi-Key,1028-1014-1-ND,Cut Tape,0.47,0.47,2.3499999999999996,21743,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c1556c&sid=459&ppid=19505609&vpid=34780877&ct=offers,
1,STM32F030K6T6,STMicroelectronics,STM32F030K6T6,https://octopart.com/stm32f030k6t6-stmicroelectronics-30038872,U4,STM32F030K6T6,"ARM Cortex-M0 32-bit MCU, 32 KB Flash, 4 KB Internal RAM, 26 I/Os, 32-pin LQFP, -40 to 85 degC, Tray",5,497-14046-ND,STM32F030K6T6,,Tray,,,1.48,1.55,,14529,2116,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=037a743&sid=459&ppid=30038872&vpid=92093399&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0835672&sid=2401&ppid=30038872&vpid=121771916&ct=offers,,Digi-Key,497-14046-ND,Tray,1.48,1.48,7.4,14529,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=037a743&sid=459&ppid=30038872&vpid=92093399&ct=offers,
1,BMX055-0273141179,Bosch,BMX055-0273141179,https://octopart.com/bmx055-0273141179-bosch-52243461,U5,BMX055-0273141179,BMX055 Sensor 9-Axis ±2/±4/±8/±16 g 3 V Small Versatile Sensor Module - LGA-20,5,,,,,,,,,,,,,,,,,,,Future Electronics,BMX055-0273141179,,3.75,3.75,18.75,3046,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0f03998&sid=2454&ppid=52243461&vpid=176658358&ct=offers,
1,MS561101BA03-50,TE Connectivity,MS561101BA03-50,https://octopart.com/ms561101ba03-50-te+connectivity-59208926,U6,MS561101BA03-50,"MEASUREMENT SPECIALTIES   MS561101BA03-50   SENSOR, BAROMETRIC, 0.01-1.2BAR, QFN-8",5,223-1622-1-ND,MS561101BA03-50,,Cut Tape,,,14.42,13.1,,2427,4787,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0071601&sid=459&ppid=59208926&vpid=211019101&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c41300&sid=2401&ppid=59208926&vpid=217673887&ct=offers,,Future Electronics,MS561101BA03-50,,6.22,6.22,31.099999999999998,2266,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=08aec14&sid=2454&ppid=59208926&vpid=232595192&ct=offers,
1,CSTCE8M00G15L99-R0,Murata,CSTCE8M00G15L99-R0,https://octopart.com/cstce8m00g15l99-r0-murata-17751576,Y1,CSTCE8M00G15L99-R0,Ceramic Resonator 8MHz Ø¢±0.1% (Tol) Ø¢±0.08% (Stability) 33pF 40Ohm 3-Pin CSMD T/R,5,490-11071-1-ND,CSTCE8M00G15L99-R0,,Cut Tape,,,0.64,0.64,,11120,4607,,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0731a42&sid=459&ppid=17751576&vpid=216077750&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DMY6wChARw2yp1tBeQ8w7kg%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DCSTCE8M00G15L99-R0%26utm_term%3DCSTCE8M00G15L99-R0%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0d81054&sid=2401&ppid=17751576&ct=offers,,Digi-Key,490-11071-1-ND,Cut Tape,0.64,0.64,3.2,11120,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0731a42&sid=459&ppid=17751576&vpid=216077750&ct=offers,
